run_type,seed,model,vina_kcal_mol,slahs_min_A,lvtkl_min_A,slahs_contact_le4A,lvtkl_contact_le4A,dual_contact_le4A
sensitivity,20260925,COMBO_019,-4.791,2.9102,3.0193,1,1,1
sensitivity,20260925,COMBO_020,-4.516,3.3329,2.8912,1,1,1
sensitivity,20260925,COMBO_021,-5.33,3.1626,2.7264,1,1,1
sensitivity,20260925,COMBO_022,-4.48,2.7975,2.9452,1,1,1
sensitivity,20260925,COMBO_023,-4.262,7.5545,3.1458,0,1,0
sensitivity,20260925,COMBO_024,-4.236,3.0022,2.9322,1,1,1
sensitivity,20260925,COMBO_025,-4.219,5.5871,2.8066,0,1,0
sensitivity,20260925,COMBO_026,-4.867,2.8425,3.4877,1,1,1
sensitivity,20260925,COMBO_027,-5.651,2.9674,2.9473,1,1,1
sensitivity,20260925,COMBO_028,-5.212,3.3974,2.9423,1,1,1
sensitivity,20260925,COMBO_029,-4.646,3.0217,3.0935,1,1,1
sensitivity,20260925,COMBO_030,-4.236,4.0324,2.9908,0,1,0
sensitivity,20260925,COMBO_031,-4.775,3.5766,2.9415,1,1,1
sensitivity,20260925,COMBO_032,-4.111,2.8706,2.7752,1,1,1
sensitivity,20260925,COMBO_033,-4.483,2.902,3.5013,1,1,1
sensitivity,20260925,COMBO_034,-5.03,3.0873,3.2104,1,1,1
sensitivity,20260925,COMBO_035,-4.993,3.4416,2.9619,1,1,1
sensitivity,20260925,COMBO_036,-5.268,3.0902,2.8836,1,1,1
sensitivity,20260925,COMBO_037,-5.388,2.8721,3.0006,1,1,1
sensitivity,20260925,COMBO_038,-4.169,2.9378,2.9658,1,1,1
sensitivity,20260925,COMBO_039,-4.979,3.0291,3.5602,1,1,1
sensitivity,20260925,COMBO_040,-5.334,3.5686,2.9641,1,1,1
sensitivity,20260925,COMBO_041,-5.134,2.9263,3.2248,1,1,1
sensitivity,20260925,COMBO_042,-5.159,3.4208,2.8304,1,1,1
sensitivity,20260925,COMBO_043,-4.572,3.3804,2.9165,1,1,1
sensitivity,20260925,COMBO_044,-5.168,3.0197,2.9178,1,1,1
sensitivity,20260925,COMBO_045,-4.556,3.4028,2.9383,1,1,1
sensitivity,20260925,COMBO_046,-5.14,3.6238,2.9366,1,1,1
sensitivity,20260925,COMBO_047,-5.289,3.0001,2.8382,1,1,1
sensitivity,20260925,COMBO_048,-4.349,3.5625,2.9869,1,1,1
