#Time_ns State SLAHS_mindist_A LVTKL_mindist_A
6.25 D 3.2865 2.8015
6.26 D 3.2440 2.7567
6.27 D 3.3928 2.8798
6.28 D 3.1492 2.8333
6.29 D 3.4655 2.8930
6.30 D 3.3949 2.7913
6.31 D 3.0814 2.7333
6.32 D 3.5708 3.0197
6.33 D 3.6541 2.7867
6.34 D 3.4422 2.7493
6.35 D 3.2482 2.9193
6.36 D 3.2398 2.7402
6.37 D 3.4837 2.7542
6.38 D 2.9671 2.9442
6.39 D 3.5801 2.7663
6.40 D 3.2233 2.8081
6.41 D 3.5677 2.9156
6.42 D 3.5170 2.6997
6.43 D 3.7541 2.8394
6.44 D 3.6632 2.9076
6.45 D 3.7057 2.9694
6.46 D 3.4639 2.7931
6.47 D 3.2736 2.7550
6.48 D 3.5759 2.9940
6.49 D 3.1770 2.7630
6.50 D 3.2152 3.1834
6.51 D 3.5833 2.7143
6.52 D 3.1901 2.8649
6.53 D 3.2902 2.8615
6.54 D 3.2174 2.7787
6.55 D 3.0992 2.8560
6.56 D 3.2522 2.8461
6.57 D 3.3209 2.7594
6.58 D 3.3625 2.5636
6.59 D 3.0817 2.8291
6.60 D 3.0447 2.8113
6.61 D 3.5528 3.1185
6.62 D 3.3425 2.7526
6.63 D 3.1939 2.8066
6.64 D 3.4815 2.9614
6.65 D 3.4589 2.8102
6.66 D 3.4860 2.8920
6.67 D 3.1315 2.8559
6.68 D 3.3237 2.7780
6.69 D 3.8307 2.7722
6.70 D 3.2635 2.7467
6.71 D 3.8963 2.8835
6.72 D 3.5008 3.0802
6.73 D 3.1281 2.7796
6.74 D 3.4132 2.7973
6.75 D 3.3868 2.9093
6.76 D 3.1491 2.9500
6.77 D 3.5997 2.6687
6.78 D 3.2582 2.9983
6.79 D 3.2975 2.8210
6.80 D 3.3964 2.9508
6.81 D 3.2780 2.9143
6.82 D 3.2444 2.8407
6.83 D 2.9814 3.1276
6.84 D 3.1040 2.8249
6.85 D 3.4262 2.8123
6.86 D 3.1556 2.9311
6.87 D 3.0960 3.1236
6.88 D 3.3268 3.0079
6.89 D 3.0008 2.8456
6.90 D 3.0569 2.9053
6.91 D 2.9292 2.8364
6.92 D 3.1069 2.8265
6.93 D 3.3962 2.8079
6.94 D 3.0933 2.7329
6.95 D 2.9295 2.8682
6.96 D 3.0634 2.8034
6.97 D 3.1518 2.8413
6.98 D 3.3095 2.7490
6.99 D 3.3373 3.0448
7.00 D 3.3194 3.0373
7.01 D 3.3448 3.0168
7.02 D 3.3579 2.8341
7.03 D 3.0677 2.8410
7.04 D 3.2915 3.0270
7.05 D 3.2460 3.3038
7.06 D 3.1571 3.3680
7.07 D 3.3139 2.9905
7.08 D 3.2307 3.2885
7.09 D 3.1024 3.2899
7.10 D 3.3418 3.2780
7.11 D 3.5012 3.3190
7.12 D 3.2377 3.2604
7.13 D 3.1665 3.1835
7.14 D 3.0481 3.2087
7.15 D 2.9552 3.2375
7.16 D 3.2818 2.8299
7.17 D 3.5807 3.1372
7.18 D 3.0372 2.9043
7.19 D 3.1508 3.5488
7.20 D 3.4648 3.3141
7.21 D 3.2713 3.3786
7.22 D 3.2143 2.8786
7.23 D 3.3000 2.8207
7.24 D 2.9851 2.7731
7.25 D 3.0921 2.8888
7.26 D 3.1692 2.9823
7.27 D 3.0765 2.8481
7.28 D 2.9798 2.7681
7.29 D 3.4808 2.7931
7.30 D 3.1560 2.8445
7.31 D 3.1585 2.8417
7.32 D 3.4293 2.7665
7.33 D 3.0733 2.9503
7.34 D 3.1628 2.7776
7.35 D 3.1677 2.7964
7.36 D 3.2536 2.8342
7.37 D 3.4478 2.8144
7.38 D 3.1300 2.8729
7.39 D 3.0450 2.8037
7.40 D 3.4204 2.9121
7.41 D 3.0985 2.8552
7.42 D 3.1464 2.9537
7.43 D 3.1426 2.9336
7.44 D 3.3433 3.0024
7.45 D 3.2529 2.8627
7.46 D 3.4536 2.7699
7.47 D 3.5296 3.1069
7.48 D 3.3679 2.7158
7.49 D 3.2268 2.9633
7.50 D 3.2706 2.8696
7.51 D 3.2281 2.7237
7.52 D 3.6109 2.7229
7.53 D 3.7845 2.7565
7.54 D 3.2704 2.8409
7.55 D 3.2507 2.9820
7.56 D 3.5243 2.8476
7.57 D 3.3668 2.7999
7.58 D 3.1482 2.9058
7.59 D 3.3679 2.7536
7.60 D 3.1383 2.8382
7.61 D 3.0150 3.0960
7.62 D 3.4330 2.7268
7.63 D 3.1904 2.7096
7.64 D 3.3879 3.0811
7.65 D 3.1473 2.7225
7.66 D 3.0138 2.8797
7.67 D 3.2537 2.8250
7.68 D 3.1663 3.0093
7.69 D 3.1467 3.0351
7.70 D 3.2205 2.8122
7.71 D 3.4791 2.7560
7.72 D 3.1282 2.6529
7.73 D 3.2623 2.8942
7.74 D 3.1587 3.0291
7.75 D 3.3582 2.8078
7.76 D 3.1462 2.7361
7.77 D 3.3397 2.8875
7.78 D 3.3469 2.7564
7.79 D 3.2529 2.6953
7.80 D 3.4660 2.8767
7.81 D 3.2637 2.7642
7.82 D 3.2449 2.9995
7.83 D 3.2846 2.7915
7.84 D 3.3809 2.9885
7.85 D 3.2568 2.7014
7.86 D 3.2682 2.8194
7.87 D 3.5349 2.7786
7.88 D 2.9960 2.7836
7.89 D 3.0808 2.6730
7.90 D 3.1714 3.1824
7.91 D 3.3549 2.9851
7.92 D 2.9413 2.8821
7.93 D 3.1525 2.9275
7.94 D 3.0627 3.0186
7.95 D 3.4267 2.8088
7.96 D 3.1196 2.8072
7.97 D 3.1817 2.9845
7.98 D 3.1771 3.1956
7.99 D 3.3676 3.3357
8.00 D 3.2215 3.1201
8.01 D 3.3026 3.0594
8.02 D 3.0481 2.8365
8.03 D 3.1923 2.8403
8.04 D 3.2330 2.8480
8.05 D 3.0111 2.6842
8.06 D 3.5084 2.7531
8.07 D 3.0537 2.5844
8.08 D 3.1717 2.8278
8.09 D 3.4922 2.8038
8.10 D 2.8389 2.6638
8.11 D 2.9353 2.8147
8.12 D 3.0460 2.9382
8.13 D 3.3307 2.8488
8.14 D 3.3453 2.8301
8.15 D 3.6438 2.9270
8.16 D 3.3836 3.1298
8.17 D 3.1873 2.8745
8.18 D 3.0393 2.9522
8.19 D 3.2882 3.0751
8.20 D 3.4730 2.8225
8.21 D 3.1010 2.8388
8.22 D 3.1890 3.1734
8.23 D 3.0954 2.8853
8.24 D 3.1728 2.8451
8.25 D 3.2277 2.8393
8.26 D 3.2430 2.9587
8.27 D 3.0447 3.3579
